Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Darnell Mooney","WR","154","61","1","","1"
"Dallas Goedert","TE","155","23","1","","1"
"Devin Neal","RB","156","46","1","","1"
"Ben Sinnott","TE","157","24","1","","1"
"Stefon Diggs","WR","158","62","1","","1"
"Ja'Tavion Sanders","TE","159","25","1","","1"
"Quentin Johnston","WR","160","63","1","","1"
"Terrance Ferguson","TE","161","26","1","","1"
"Jalen Coker","WR","162","64","1","","1"
"Blake Corum","RB","163","47","1","","1"
"Cedric Tillman","WR","164","65","1","","1"
"Jaylen Wright","RB","165","48","1","","1"
"Harold Fannin","TE","166","27","1","","1"
"Braelon Allen","RB","167","49","1","","1"
"Jalen Milroe","QB","168","27","1","","1"
"Rashod Bateman","WR","169","66","1","","1"
"Jaydon Blue","RB","170","50","1","","1"
"Javonte Williams","RB","171","51","1","","1"
"Romeo Doubs","WR","172","67","1","","1"
"Hollywood Brown","WR","173","68","1","","1"
"Christian Kirk","WR","174","69","1","","1"
"Rico Dowdle","RB","175","52","1","","1"
"Adonai Mitchell","WR","176","70","1","","1"
"Wan'Dale Robinson","WR","177","71","1","","1"
"Jalen Royals","WR","178","72","1","","1"
"Theo Johnson","TE","179","28","1","","1"
"Amari Cooper","WR","180","73","1","","1"
"Chig Okonkwo","TE","181","29","1","","1"
"DeMario Douglas","WR","182","74","1","","1"
"Ray Davis","RB","183","53","1","","1"
"Isaac Guerendo","RB","184","54","1","","1"
"Jerome Ford","RB","185","55","1","","1"
"Troy Franklin","WR","186","75","1","","1"
"Geno Smith","QB","187","28","1","","1"
"Tyler Allgeier","RB","188","56","1","","1"
"Matthew Stafford","QB","189","29","1","","1"
"Dalton Schultz","TE","190","30","1","","1"
"Kendre Miller","RB","191","57","1","","1"
"Keenan Allen","WR","192","76","1","","1"
"Ollie Gordon","RB","193","58","1","","1"
"Christian Watson","WR","194","77","1","","1"
"Elic Ayomanor","WR","195","78","1","","1"
"Dontayvion Wicks","WR","196","79","1","","1"
"MarShawn Lloyd","RB","197","59","1","","1"
"Hunter Henry","TE","198","31","1","","1"
"Noah Gray","TE","199","32","1","","1"
"Audric Estime","RB","200","60","1","","1"
"Jordan Mason","RB","201","61","1","","1"
"Jordan Whittington","WR","202","80","1","","1"
"Nick Chubb","RB","203","62","1","","1"
"Austin Ekeler","RB","204","63","1","","1"
"Brenton Strange","TE","205","33","1","","1"
"DJ Giddens","RB","206","64","1","","1"
"Zach Ertz","TE","207","34","1","","1"
"Jaxson Dart","QB","208","30","1","","1"
"Andrei Iosivas","WR","209","81","1","","1"
"Malik Washington","WR","210","82","1","","1"
"Roschon Johnson","RB","211","65","1","","1"
"Ja'Lynn Polk","WR","212","83","1","","1"
"Mike Gesicki","TE","213","35","1","","1"
"Diontae Johnson","WR","214","84","1","","1"
"Damien Martinez","RB","215","66","1","","1"
"Adam Thielen","WR","216","85","1","","1"
"Alec Pierce","WR","217","86","1","","1"
"Kayshon Boutte","WR","218","87","1","","1"
"Roman Wilson","WR","219","88","1","","1"
"Michael Mayer","TE","220","36","1","","1"
"Michael Wilson","WR","221","89","1","","1"
"Keaton Mitchell","RB","222","67","1","","1"
"Trevor Etienne","RB","223","68","1","","1"
"Kimani Vidal","RB","224","69","1","","1"
"Isaiah Bond","WR","225","90","1","","1"
"Noah Fant","TE","226","37","1","","1"
"Luke Musgrave","TE","227","38","1","","1"
"Jaleel McLaughlin","RB","228","70","1","","1"
"Jermaine Burton","WR","229","91","1","","1"
"Luke McCaffrey","WR","230","92","1","","1"
"Zamir White","RB","231","71","1","","1"
"Will Shipley","RB","232","72","1","","1"
"AJ Barner","TE","233","39","1","","1"
"Zack Moss","RB","234","73","1","","1"
"Parker Washington","WR","235","93","1","","1"
"Jalen Tolbert","WR","236","94","1","","1"
"Elijah Moore","WR","237","95","1","","1"
"Malachi Corley","WR","238","96","1","","1"
"Tez Johnson","WR","239","97","1","","1"
"Devin Singletary","RB","240","74","1","","1"
"Jordan James","RB","241","75","1","","1"
"DeAndre Hopkins","WR","242","98","1","","1"
"Antonio Gibson","RB","243","76","1","","1"
"Gabe Davis","WR","244","99","1","","1"
"Jarquez Hunter","RB","245","77","1","","1"
"Juwan Johnson","TE","246","40","1","","1"
"Cade Stover","TE","247","41","1","","1"
"Gunnar Helm","TE","248","42","1","","1"
"Jahan Dotson","WR","249","100","1","","1"
"Russell Wilson","QB","250","31","1","","1"
"Dameon Pierce","RB","251","78","1","","1"
"Erick All","TE","252","43","1","","1"
"Tyler Higbee","TE","253","44","1","","1"
"Tre Tucker","WR","254","101","1","","1"
"Savion Williams","WR","255","102","1","","1"
"Quinn Ewers","QB","256","32","1","","1"
"Woody Marks","RB","257","79","1","","1"
"Taysom Hill","TE","258","45","1","","1"
"Isaiah Davis","RB","259","80","1","","1"
"Xavier Restrepo","WR","260","103","1","","1"
"Sean Tucker","RB","261","81","1","","1"
"Tai Felton","WR","262","104","1","","1"
"Joshua Palmer","WR","263","105","1","","1"
"Kareem Hunt","RB","264","82","1","","1"
"Javon Baker","WR","265","106","1","","1"
"Dyami Brown","WR","266","107","1","","1"
"Jameis Winston","QB","267","33","1","","1"
"Isaac TeSlaa","WR","268","108","1","","1"
"Tory Horton","WR","269","109","1","","1"
"Justice Hill","RB","270","83","1","","1"
"Cam Akers","RB","271","84","1","","1"
"Luke Schoonmaker","TE","272","46","1","","1"
"Kirk Cousins","QB","273","34","1","","1"
"John Metchie","WR","274","110","1","","1"
"Shedeur Sanders","QB","275","35","1","","1"
"Derek Carr","QB","276","36","1","","1"
"Brashard Smith","RB","277","85","1","","1"
"Tyler Conklin","TE","278","47","1","","1"
"Gus Edwards","RB","279","86","1","","1"
"Tyler Lockett","WR","280","111","1","","1"
"Raheem Mostert","RB","281","87","1","","1"
"Alexander Mattison","RB","282","88","1","","1"
"Calvin Austin","WR","283","112","1","","1"
"Khalil Herbert","RB","284","89","1","","1"
"Curtis Samuel","WR","285","113","1","","1"
"Kenneth Gainwell","RB","286","90","1","","1"
"Mike Williams","WR","287","114","1","","1"
"Oronde Gadsden","TE","288","48","1","","1"
"Dillon Gabriel","QB","289","37","1","","1"
"Bru McCoy","WR","290","115","1","","1"
"Mitchell Evans","TE","291","49","1","","1"
"Donovan Edwards","RB","292","91","1","","1"
"Spencer Rattler","QB","293","38","1","","1"
"Daniel Jones","QB","294","39","1","","1"
"Ricky White","WR","295","116","1","","1"
"Pat Bryant","WR","296","117","1","","1"
"Kalel Mullings","RB","297","92","1","","1"
"Joe Milton","QB","298","40","1","","1"
"Antwane Wells","WR","299","118","1","","1"
"Nick Nash","WR","300","119","1","","1"
"Raheim Sanders","RB","301","93","1","","1"
"Jimmy Horn","WR","302","120","1","","1"
"Will Howard","QB","303","41","1","","1"
"Ja'Quinden Jackson","RB","304","94","1","","1"
"Moliki Matavao","TE","305","50","1","","1"
"Kyle Monangai","RB","306","95","1","","1"
"Riley Leonard","QB","307","42","1","","1"
"Tahj Brooks","RB","308","96","1","","1"
"LeQuint Allen","RB","309","97","1","","1"
"Kyle Williams","WR","310","121","1","","1"
"Marcus Yarns","RB","311","98","1","","1"
"Tyler Shough","QB","312","43","1","","1"
"Kyle McCord","QB","313","44","1","","1"
"Dont'e Thornton","WR","314","122","1","","1"
"Kurtis Rourke","QB","315","45","1","","1"
"Jacory Croskey-Merritt","RB","316","99","1","","1"
"Efton Chism","WR","317","123","1","","1"
"Chimere Dike","WR","318","124","1","","1"
"Arian Smith","WR","319","125","1","","1"
"Brady Cook","QB","320","46","1","","1"
"Jelani Baker","WR","321","126","1","","1"
"Tanner Knue","WR","322","127","1","","1"
"Mike DiLiello","QB","323","47","1","","1"
"Baylor Cupp","TE","324","51","1","","1"
"Colby Suits","QB","325","48","1","","1"
"Jaylen Johnson","WR","326","128","1","","1"
"JJ Galbreath","TE","327","52","1","","1"
"DJ Thomas-Jones","TE","328","53","1","","1"
"Roc Taylor","WR","329","129","1","","1"
"Ke'Shawn Williams","WR","330","130","1","","1"
"Lan Larison","RB","331","100","1","","1"
"Jacolby George","WR","332","131","1","","1"
"Moose Muhammad","WR","333","132","1","","1"
"Ethan Garbers","QB","334","49","1","","1"
"Kay'Ron Lynch-Adams","RB","335","101","1","","1"
"Bryce Pierre","TE","336","54","1","","1"
"Kye Robichaux","RB","337","102","1","","1"
"Jalen White","RB","338","103","1","","1"
"Robert Lewis","WR","339","133","1","","1"
"Dontae Fleming","WR","340","134","1","","1"
"Bryson Nesbit","TE","341","55","1","","1"
"Tre Stewart","RB","342","104","1","","1"
"Anthony Tyus","RB","343","105","1","","1"
"Jackson Meeks","WR","344","135","1","","1"
"Jakobie Keeney-James","WR","345","136","1","","1"
"Caden Prieskorn","TE","346","56","1","","1"
