Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Najee Harris","RB","69","24","1","","1"
"Aaron Jones","RB","70","25","1","","1"
"Tony Pollard","RB","71","26","1","","1"
"Brandon Aiyuk","WR","72","34","1","","1"
"Rome Odunze","WR","73","35","1","","1"
"Khalil Shakir","WR","74","36","1","","1"
"Jared Goff","QB","75","8","1","","1"
"Jaylen Warren","RB","76","27","1","","1"
"Jonnu Smith","TE","77","6","1","","1"
"Mark Andrews","TE","78","7","1","","1"
"Kyler Murray","QB","79","9","1","","1"
"Justin Herbert","QB","80","10","1","","1"
"Jakobi Meyers","WR","81","37","1","","1"
"Brian Robinson","RB","82","28","1","","1"
"Calvin Ridley","WR","83","38","1","","1"
"D'Andre Swift","RB","84","29","1","","1"
"Travis Kelce","TE","85","8","1","","1"
"Deebo Samuel","WR","86","39","1","","1"
"David Njoku","TE","87","9","1","","1"
"Evan Engram","TE","88","10","1","","1"
"Travis Etienne","RB","89","30","1","","1"
"Jordan Love","QB","90","11","1","","1"
"Rhamondre Stevenson","RB","91","31","1","","1"
"Jayden Reed","WR","92","40","1","","1"
"Bo Nix","QB","93","12","1","","1"
"Cooper Kupp","WR","94","41","1","","1"
"Brock Purdy","QB","95","13","1","","1"
"Josh Downs","WR","96","42","1","","1"
"Michael Pittman","WR","97","43","1","","1"
"Caleb Williams","QB","98","14","1","","1"
"Rico Dowdle","RB","99","32","1","","1"
"Stefon Diggs","WR","100","44","1","","1"
"Tyjae Spears","RB","101","33","1","","1"
"Jalen McMillan","WR","102","45","1","","1"
"Dalton Kincaid","TE","103","11","1","","1"
"Jake Ferguson","TE","104","12","1","","1"
"Javonte Williams","RB","105","34","1","","1"
"Rachaad White","RB","106","35","1","","1"
"Tucker Kraft","TE","107","13","1","","1"
"C.J. Stroud","QB","108","15","1","","1"
"J.K. Dobbins","RB","109","36","1","","1"
"Darnell Mooney","WR","110","46","1","","1"
"Keenan Allen","WR","111","47","1","","1"
"Ricky Pearsall","WR","112","48","1","","1"
"Dak Prescott","QB","113","16","1","","1"
"Tua Tagovailoa","QB","114","17","1","","1"
"Zach Charbonnet","RB","115","37","1","","1"
"Tank Bigsby","RB","116","38","1","","1"
"Christian Kirk","WR","117","49","1","","1"
"Drake Maye","QB","118","18","1","","1"
"TreVeyon Henderson","RB","119","39","1","","1"
"Amari Cooper","WR","120","50","1","","1"
"Trevor Lawrence","QB","121","19","1","","1"
"Matthew Stafford","QB","122","20","1","","1"
"Anthony Richardson","QB","123","21","1","","1"
"Keon Coleman","WR","124","51","1","","1"
"Dallas Goedert","TE","125","14","1","","1"
"Jerome Ford","RB","126","40","1","","1"
"Blake Corum","RB","127","41","1","","1"
"Hollywood Brown","WR","128","52","1","","1"
"Austin Ekeler","RB","129","42","1","","1"
"Hunter Henry","TE","130","15","1","","1"
"Tetairoa McMillan","WR","131","53","1","","1"
"Quinshon Judkins","RB","132","43","1","","1"
"Rashid Shaheed","WR","133","54","1","","1"
"Quentin Johnston","WR","134","55","1","","1"
"DeAndre Hopkins","WR","135","56","1","","1"
"Tyler Allgeier","RB","136","44","1","","1"
"Romeo Doubs","WR","137","57","1","","1"
"Kyle Pitts","TE","138","16","1","","1"
"Ray Davis","RB","139","45","1","","1"
"Geno Smith","QB","140","22","1","","1"
"Adam Thielen","WR","141","58","1","","1"
"Sam Darnold","QB","142","23","1","","1"
"Braelon Allen","RB","143","46","1","","1"
"Jaylen Wright","RB","144","47","1","","1"
"Bryce Young","QB","145","24","1","","1"
"Marvin Mims","WR","146","59","1","","1"
"Pat Freiermuth","TE","147","17","1","","1"
"Jaleel McLaughlin","RB","148","48","1","","1"
"Justin Fields","QB","149","25","1","","1"
"Rashod Bateman","WR","150","60","1","","1"
"Isaac Guerendo","RB","151","49","1","","1"
"Xavier Legette","WR","152","61","1","","1"
"Zach Ertz","TE","153","18","1","","1"
"Adonai Mitchell","WR","154","62","1","","1"
"Dylan Sampson","RB","155","50","1","","1"
"Trey Benson","RB","156","51","1","","1"
"Cole Kmet","TE","157","19","1","","1"
"Tyler Warren","TE","158","20","1","","1"
"Nick Chubb","RB","159","52","1","","1"
"Cade Otton","TE","160","21","1","","1"
"MarShawn Lloyd","RB","161","53","1","","1"
"Wan'Dale Robinson","WR","162","63","1","","1"
"DeMario Douglas","WR","163","64","1","","1"
"J.J. McCarthy","QB","164","26","1","","1"
"Michael Wilson","WR","165","65","1","","1"
"Luther Burden","WR","166","66","1","","1"
"Emeka Egbuka","WR","167","67","1","","1"
"Roschon Johnson","RB","168","54","1","","1"
"Audric Estime","RB","169","55","1","","1"
"Matthew Golden","WR","170","68","1","","1"
"Isaiah Likely","TE","171","22","1","","1"
"Bhayshul Tuten","RB","172","56","1","","1"
"Dalton Schultz","TE","173","23","1","","1"
"Dontayvion Wicks","WR","174","69","1","","1"
"Diontae Johnson","WR","175","70","1","","1"
"Kaleb Johnson","RB","176","57","1","","1"
"Cam Ward","QB","177","27","1","","1"
"Antonio Gibson","RB","178","58","1","","1"
"Cam Skattebo","RB","179","59","1","","1"
"Joshua Palmer","WR","180","71","1","","1"
"Ja'Tavion Sanders","TE","181","24","1","","1"
"Kimani Vidal","RB","182","60","1","","1"
"Mike Gesicki","TE","183","25","1","","1"
"Brandin Cooks","WR","184","72","1","","1"
"Kendre Miller","RB","185","61","1","","1"
"Tre Harris","WR","186","73","1","","1"
"Shedeur Sanders","QB","187","28","1","","1"
"Isaiah Bond","WR","188","74","1","","1"
"Colston Loveland","TE","189","26","1","","1"
"Devin Singletary","RB","190","62","1","","1"
"Travis Hunter","WR","191","75","1","","1"
"Noah Fant","TE","192","27","1","","1"
"Derek Carr","QB","193","29","1","","1"
"Gabe Davis","WR","194","76","1","","1"
"Devin Neal","RB","195","63","1","","1"
"Damien Martinez","RB","196","64","1","","1"
"Jalen Tolbert","WR","197","77","1","","1"
"Ollie Gordon","RB","198","65","1","","1"
"Christian Watson","WR","199","78","1","","1"
"Justice Hill","RB","200","66","1","","1"
"Xavier Restrepo","WR","201","79","1","","1"
"Juwan Johnson","TE","202","28","1","","1"
"Taysom Hill","TE","203","29","1","","1"
"Trevor Etienne","RB","204","67","1","","1"
"RJ Harvey","RB","205","68","1","","1"
"Kyle Monangai","RB","206","69","1","","1"
"Elic Ayomanor","WR","207","80","1","","1"
"Alexander Mattison","RB","208","70","1","","1"
"Roman Wilson","WR","209","81","1","","1"
"Gus Edwards","RB","210","71","1","","1"
"Russell Wilson","QB","211","30","1","","1"
"Khalil Herbert","RB","212","72","1","","1"
"Raheem Mostert","RB","213","73","1","","1"
"Luke McCaffrey","WR","214","82","1","","1"
"Tank Dell","WR","215","83","1","","1"
"Mike Williams","WR","216","84","1","","1"
"Harold Fannin","TE","217","30","1","","1"
"Aaron Rodgers","QB","218","31","1","","1"
"Curtis Samuel","WR","219","85","1","","1"
"Zack Moss","RB","220","74","1","","1"
"Elijah Mitchell","RB","221","75","1","","1"
"Tyler Lockett","WR","222","86","1","","1"
"Jalen Royals","WR","223","87","1","","1"
"Theo Johnson","TE","224","31","1","","1"
"Keaton Mitchell","RB","225","76","1","","1"
"Tez Johnson","WR","226","88","1","","1"
"Jaxson Dart","QB","227","32","1","","1"
"Raheim Sanders","RB","228","77","1","","1"
"Oronde Gadsden","TE","229","32","1","","1"
"DJ Giddens","RB","230","78","1","","1"
"Donovan Edwards","RB","231","79","1","","1"
"Brashard Smith","RB","232","80","1","","1"
"Tory Horton","WR","233","89","1","","1"
"Tahj Brooks","RB","234","81","1","","1"
"Elijah Arroyo","TE","235","33","1","","1"
"Woody Marks","RB","236","82","1","","1"
"Jaylin Noel","WR","237","90","1","","1"
"Jayden Higgins","WR","238","91","1","","1"
"Ja'Quinden Jackson","RB","239","83","1","","1"
"Jack Bech","WR","240","92","1","","1"
"Jarquez Hunter","RB","241","84","1","","1"
"Marcus Yarns","RB","242","85","1","","1"
"Jaydon Blue","RB","243","86","1","","1"
"Savion Williams","WR","244","93","1","","1"
"Mason Taylor","TE","245","34","1","","1"
"Jalen Milroe","QB","246","33","1","","1"
"Kalel Mullings","RB","247","87","1","","1"
"Terrance Ferguson","TE","248","35","1","","1"
"Quinn Ewers","QB","249","34","1","","1"
"Dillon Gabriel","QB","250","35","1","","1"
"Jordan James","RB","251","88","1","","1"
"Riley Leonard","QB","252","36","1","","1"
"Kurtis Rourke","QB","253","37","1","","1"
"Mitchell Evans","TE","254","36","1","","1"
"Gunnar Helm","TE","255","37","1","","1"
"Tai Felton","WR","256","94","1","","1"
"Ricky White","WR","257","95","1","","1"
"Will Howard","QB","258","38","1","","1"
"Kyle McCord","QB","259","39","1","","1"
"Pat Bryant","WR","260","96","1","","1"
"Nick Nash","WR","261","97","1","","1"
"Jimmy Horn","WR","262","98","1","","1"
"Moliki Matavao","TE","263","38","1","","1"
"Isaac TeSlaa","WR","264","99","1","","1"
"Jacory Croskey-Merritt","RB","265","89","1","","1"
"Tyler Shough","QB","266","40","1","","1"
"LeQuint Allen","RB","267","90","1","","1"
"Efton Chism","WR","268","100","1","","1"
"Dont'e Thornton","WR","269","101","1","","1"
"Chimere Dike","WR","270","102","1","","1"
"Arian Smith","WR","271","103","1","","1"
"Brady Cook","QB","272","41","1","","1"
"Kyle Williams","WR","273","104","1","","1"
"Tanner Knue","WR","274","105","1","","1"
"Mike DiLiello","QB","275","42","1","","1"
"Baylor Cupp","TE","276","39","1","","1"
"Colby Suits","QB","277","43","1","","1"
"Jaylen Johnson","WR","278","106","1","","1"
"JJ Galbreath","TE","279","40","1","","1"
"DJ Thomas-Jones","TE","280","41","1","","1"
"Roc Taylor","WR","281","107","1","","1"
"Ke'Shawn Williams","WR","282","108","1","","1"
"Lan Larison","RB","283","91","1","","1"
"Jacolby George","WR","284","109","1","","1"
"Moose Muhammad","WR","285","110","1","","1"
"Ethan Garbers","QB","286","44","1","","1"
"Kay'Ron Lynch-Adams","RB","287","92","1","","1"
"Bryce Pierre","TE","288","42","1","","1"
"Kye Robichaux","RB","289","93","1","","1"
"Jalen White","RB","290","94","1","","1"
"Robert Lewis","WR","291","111","1","","1"
"Dontae Fleming","WR","292","112","1","","1"
"Bryson Nesbit","TE","293","43","1","","1"
"Tre Stewart","RB","294","95","1","","1"
"Anthony Tyus","RB","295","96","1","","1"
"Jackson Meeks","WR","296","113","1","","1"
"Jakobie Keeney-James","WR","297","114","1","","1"
"Caden Prieskorn","TE","298","44","1","","1"
"Amar Johnson","RB","299","97","1","","1"
