Name,Position,Overall Rank,Positional Rank,Tier,Attribute,Auction Value
"Kenneth Walker","RB","66","17","1","","1"
"Tyler Warren","TE","67","4","1","","1"
"Derrick Henry","RB","68","18","1","","1"
"RJ Harvey","RB","69","19","1","","1"
"Jordan Addison","WR","70","26","1","","1"
"Michael Penix","QB","71","22","1","","1"
"T.J. Hockenson","TE","72","5","1","","1"
"Colston Loveland","TE","73","6","1","","1"
"Terry McLaurin","WR","74","27","1","","1"
"Jaylen Waddle","WR","75","28","1","","1"
"Jaxson Dart","QB","76","23","1","","1"
"Kaleb Johnson","RB","77","20","1","","1"
"Tua Tagovailoa","QB","78","24","1","","1"
"Matthew Golden","WR","79","29","1","","1"
"George Pickens","WR","80","30","1","","1"
"George Kittle","TE","81","7","1","","1"
"Chuba Hubbard","RB","82","21","1","","1"
"Tyreek Hill","WR","83","31","1","","1"
"DK Metcalf","WR","84","32","1","","1"
"Jameson Williams","WR","85","33","1","","1"
"Brandon Aiyuk","WR","86","34","1","","1"
"Joe Mixon","RB","87","22","1","","1"
"Anthony Richardson","QB","88","25","1","","1"
"Dalton Kincaid","TE","89","8","1","","1"
"Mark Andrews","TE","90","9","1","","1"
"Jerry Jeudy","WR","91","35","1","","1"
"Mike Evans","WR","92","36","1","","1"
"Luther Burden","WR","93","37","1","","1"
"Jayden Reed","WR","94","38","1","","1"
"Tre Harris","WR","95","39","1","","1"
"Sam Darnold","QB","96","26","1","","1"
"David Montgomery","RB","97","23","1","","1"
"Tyrone Tracy","RB","98","24","1","","1"
"Alvin Kamara","RB","99","25","1","","1"
"Jalen McMillan","WR","100","40","1","","1"
"Kyle Pitts","TE","101","10","1","","1"
"Josh Downs","WR","102","41","1","","1"
"David Njoku","TE","103","11","1","","1"
"Chris Godwin","WR","104","42","1","","1"
"Travis Etienne","RB","105","26","1","","1"
"Jayden Higgins","WR","106","43","1","","1"
"Isiah Pacheco","RB","107","27","1","","1"
"Ricky Pearsall","WR","108","44","1","","1"
"Justin Fields","QB","109","27","1","","1"
"Tucker Kraft","TE","110","12","1","","1"
"Michael Pittman","WR","111","45","1","","1"
"Keon Coleman","WR","112","46","1","","1"
"Courtland Sutton","WR","113","47","1","","1"
"Cam Skattebo","RB","114","28","1","","1"
"Matthew Stafford","QB","115","28","1","","1"
"Khalil Shakir","WR","116","48","1","","1"
"Brian Robinson","RB","117","29","1","","1"
"Geno Smith","QB","118","29","1","","1"
"James Conner","RB","119","30","1","","1"
"D'Andre Swift","RB","120","31","1","","1"
"Jalen Milroe","QB","121","30","1","","1"
"Davante Adams","WR","122","49","1","","1"
"Zach Charbonnet","RB","123","32","1","","1"
"Jake Ferguson","TE","124","13","1","","1"
"Rhamondre Stevenson","RB","125","33","1","","1"
"Isaiah Likely","TE","126","14","1","","1"
"Jonnu Smith","TE","127","15","1","","1"
"Trey Benson","RB","128","34","1","","1"
"Najee Harris","RB","129","35","1","","1"
"Tony Pollard","RB","130","36","1","","1"
"Jack Bech","WR","131","50","1","","1"
"Deebo Samuel","WR","132","51","1","","1"
"Jaylin Noel","WR","133","52","1","","1"
"Jakobi Meyers","WR","134","53","1","","1"
"J.K. Dobbins","RB","135","37","1","","1"
"Cade Otton","TE","136","16","1","","1"
"Xavier Legette","WR","137","54","1","","1"
"Evan Engram","TE","138","17","1","","1"
"Cooper Kupp","WR","139","55","1","","1"
"Tyjae Spears","RB","140","38","1","","1"
"Mason Taylor","TE","141","18","1","","1"
"Shedeur Sanders","QB","142","31","1","","1"
"Travis Kelce","TE","143","19","1","","1"
"Pat Freiermuth","TE","144","20","1","","1"
"Cole Kmet","TE","145","21","1","","1"
"Dillon Gabriel","QB","146","32","1","","1"
"Calvin Ridley","WR","147","56","1","","1"
"Bhayshul Tuten","RB","148","39","1","","1"
"Dylan Sampson","RB","149","40","1","","1"
"Tyler Shough","QB","150","33","1","","1"
"Aaron Jones","RB","151","41","1","","1"
"Rachaad White","RB","152","42","1","","1"
"Rashid Shaheed","WR","153","57","1","","1"
"Tank Bigsby","RB","154","43","1","","1"
"Tank Dell","WR","155","58","1","","1"
"Elijah Arroyo","TE","156","22","1","","1"
"Jauan Jennings","WR","157","59","1","","1"
"Jaylen Warren","RB","158","44","1","","1"
"Marvin Mims","WR","159","60","1","","1"
"Jonathon Brooks","RB","160","45","1","","1"
"Darnell Mooney","WR","161","61","1","","1"
"Dallas Goedert","TE","162","23","1","","1"
"Devin Neal","RB","163","46","1","","1"
"Ben Sinnott","TE","164","24","1","","1"
"Stefon Diggs","WR","165","62","1","","1"
"Ja'Tavion Sanders","TE","166","25","1","","1"
"Quentin Johnston","WR","167","63","1","","1"
"Terrance Ferguson","TE","168","26","1","","1"
"Jalen Coker","WR","169","64","1","","1"
"Russell Wilson","QB","170","34","1","","1"
"Blake Corum","RB","171","47","1","","1"
"Cedric Tillman","WR","172","65","1","","1"
"Jaylen Wright","RB","173","48","1","","1"
"Harold Fannin","TE","174","27","1","","1"
"Braelon Allen","RB","175","49","1","","1"
"Rashod Bateman","WR","176","66","1","","1"
"Jaydon Blue","RB","177","50","1","","1"
"Javonte Williams","RB","178","51","1","","1"
"Romeo Doubs","WR","179","67","1","","1"
"Hollywood Brown","WR","180","68","1","","1"
"Christian Kirk","WR","181","69","1","","1"
"Rico Dowdle","RB","182","52","1","","1"
"Adonai Mitchell","WR","183","70","1","","1"
"Wan'Dale Robinson","WR","184","71","1","","1"
"Jalen Royals","WR","185","72","1","","1"
"Derek Carr","QB","186","35","1","","1"
"Theo Johnson","TE","187","28","1","","1"
"Amari Cooper","WR","188","73","1","","1"
"Chig Okonkwo","TE","189","29","1","","1"
"DeMario Douglas","WR","190","74","1","","1"
"Ray Davis","RB","191","53","1","","1"
"Isaac Guerendo","RB","192","54","1","","1"
"Jerome Ford","RB","193","55","1","","1"
"Troy Franklin","WR","194","75","1","","1"
"Tyler Allgeier","RB","195","56","1","","1"
"Dalton Schultz","TE","196","30","1","","1"
"Kendre Miller","RB","197","57","1","","1"
"Keenan Allen","WR","198","76","1","","1"
"Ollie Gordon","RB","199","58","1","","1"
"Christian Watson","WR","200","77","1","","1"
"Elic Ayomanor","WR","201","78","1","","1"
"Dontayvion Wicks","WR","202","79","1","","1"
"MarShawn Lloyd","RB","203","59","1","","1"
"Hunter Henry","TE","204","31","1","","1"
"Noah Gray","TE","205","32","1","","1"
"Audric Estime","RB","206","60","1","","1"
"Jordan Mason","RB","207","61","1","","1"
"Jordan Whittington","WR","208","80","1","","1"
"Nick Chubb","RB","209","62","1","","1"
"Austin Ekeler","RB","210","63","1","","1"
"Brenton Strange","TE","211","33","1","","1"
"DJ Giddens","RB","212","64","1","","1"
"Zach Ertz","TE","213","34","1","","1"
"Andrei Iosivas","WR","214","81","1","","1"
"Malik Washington","WR","215","82","1","","1"
"Roschon Johnson","RB","216","65","1","","1"
"Ja'Lynn Polk","WR","217","83","1","","1"
"Mike Gesicki","TE","218","35","1","","1"
"Diontae Johnson","WR","219","84","1","","1"
"Damien Martinez","RB","220","66","1","","1"
"Adam Thielen","WR","221","85","1","","1"
"Alec Pierce","WR","222","86","1","","1"
"Kayshon Boutte","WR","223","87","1","","1"
"Roman Wilson","WR","224","88","1","","1"
"Michael Mayer","TE","225","36","1","","1"
"Michael Wilson","WR","226","89","1","","1"
"Keaton Mitchell","RB","227","67","1","","1"
"Trevor Etienne","RB","228","68","1","","1"
"Kimani Vidal","RB","229","69","1","","1"
"Isaiah Bond","WR","230","90","1","","1"
"Noah Fant","TE","231","37","1","","1"
"Luke Musgrave","TE","232","38","1","","1"
"Jaleel McLaughlin","RB","233","70","1","","1"
"Jermaine Burton","WR","234","91","1","","1"
"Luke McCaffrey","WR","235","92","1","","1"
"Zamir White","RB","236","71","1","","1"
"Will Shipley","RB","237","72","1","","1"
"AJ Barner","TE","238","39","1","","1"
"Zack Moss","RB","239","73","1","","1"
"Parker Washington","WR","240","93","1","","1"
"Jalen Tolbert","WR","241","94","1","","1"
"Elijah Moore","WR","242","95","1","","1"
"Malachi Corley","WR","243","96","1","","1"
"Tez Johnson","WR","244","97","1","","1"
"Devin Singletary","RB","245","74","1","","1"
"Jordan James","RB","246","75","1","","1"
"DeAndre Hopkins","WR","247","98","1","","1"
"Antonio Gibson","RB","248","76","1","","1"
"Gabe Davis","WR","249","99","1","","1"
"Jarquez Hunter","RB","250","77","1","","1"
"Juwan Johnson","TE","251","40","1","","1"
"Cade Stover","TE","252","41","1","","1"
"Gunnar Helm","TE","253","42","1","","1"
"Jahan Dotson","WR","254","100","1","","1"
"Dameon Pierce","RB","255","78","1","","1"
"Erick All","TE","256","43","1","","1"
"Tyler Higbee","TE","257","44","1","","1"
"Tre Tucker","WR","258","101","1","","1"
"Savion Williams","WR","259","102","1","","1"
"Quinn Ewers","QB","260","36","1","","1"
"Woody Marks","RB","261","79","1","","1"
"Taysom Hill","TE","262","45","1","","1"
"Isaiah Davis","RB","263","80","1","","1"
"Xavier Restrepo","WR","264","103","1","","1"
"Sean Tucker","RB","265","81","1","","1"
"Tai Felton","WR","266","104","1","","1"
"Joshua Palmer","WR","267","105","1","","1"
"Kareem Hunt","RB","268","82","1","","1"
"Javon Baker","WR","269","106","1","","1"
"Dyami Brown","WR","270","107","1","","1"
"Jameis Winston","QB","271","37","1","","1"
"Isaac TeSlaa","WR","272","108","1","","1"
"Tory Horton","WR","273","109","1","","1"
"Justice Hill","RB","274","83","1","","1"
"Cam Akers","RB","275","84","1","","1"
"Luke Schoonmaker","TE","276","46","1","","1"
"Kirk Cousins","QB","277","38","1","","1"
"John Metchie","WR","278","110","1","","1"
"Brashard Smith","RB","279","85","1","","1"
"Tyler Conklin","TE","280","47","1","","1"
"Gus Edwards","RB","281","86","1","","1"
"Tyler Lockett","WR","282","111","1","","1"
"Raheem Mostert","RB","283","87","1","","1"
"Alexander Mattison","RB","284","88","1","","1"
"Calvin Austin","WR","285","112","1","","1"
"Khalil Herbert","RB","286","89","1","","1"
"Curtis Samuel","WR","287","113","1","","1"
"Kenneth Gainwell","RB","288","90","1","","1"
"Mike Williams","WR","289","114","1","","1"
"Oronde Gadsden","TE","290","48","1","","1"
"Bru McCoy","WR","291","115","1","","1"
"Mitchell Evans","TE","292","49","1","","1"
"Donovan Edwards","RB","293","91","1","","1"
"Spencer Rattler","QB","294","39","1","","1"
"Daniel Jones","QB","295","40","1","","1"
"Ricky White","WR","296","116","1","","1"
"Pat Bryant","WR","297","117","1","","1"
"Kalel Mullings","RB","298","92","1","","1"
"Joe Milton","QB","299","41","1","","1"
"Antwane Wells","WR","300","118","1","","1"
"Nick Nash","WR","301","119","1","","1"
"Raheim Sanders","RB","302","93","1","","1"
"Jimmy Horn","WR","303","120","1","","1"
"Will Howard","QB","304","42","1","","1"
"Ja'Quinden Jackson","RB","305","94","1","","1"
"Moliki Matavao","TE","306","50","1","","1"
"Kyle Monangai","RB","307","95","1","","1"
"Riley Leonard","QB","308","43","1","","1"
"Tahj Brooks","RB","309","96","1","","1"
"LeQuint Allen","RB","310","97","1","","1"
"Kyle Williams","WR","311","121","1","","1"
"Marcus Yarns","RB","312","98","1","","1"
"Kyle McCord","QB","313","44","1","","1"
"Dont'e Thornton","WR","314","122","1","","1"
"Kurtis Rourke","QB","315","45","1","","1"
"Jacory Croskey-Merritt","RB","316","99","1","","1"
"Efton Chism","WR","317","123","1","","1"
"Chimere Dike","WR","318","124","1","","1"
"Arian Smith","WR","319","125","1","","1"
"Brady Cook","QB","320","46","1","","1"
"Jelani Baker","WR","321","126","1","","1"
"Tanner Knue","WR","322","127","1","","1"
"Mike DiLiello","QB","323","47","1","","1"
"Baylor Cupp","TE","324","51","1","","1"
"Colby Suits","QB","325","48","1","","1"
"Jaylen Johnson","WR","326","128","1","","1"
"JJ Galbreath","TE","327","52","1","","1"
"DJ Thomas-Jones","TE","328","53","1","","1"
"Roc Taylor","WR","329","129","1","","1"
"Ke'Shawn Williams","WR","330","130","1","","1"
"Lan Larison","RB","331","100","1","","1"
"Jacolby George","WR","332","131","1","","1"
"Moose Muhammad","WR","333","132","1","","1"
"Ethan Garbers","QB","334","49","1","","1"
"Kay'Ron Lynch-Adams","RB","335","101","1","","1"
"Bryce Pierre","TE","336","54","1","","1"
"Kye Robichaux","RB","337","102","1","","1"
"Jalen White","RB","338","103","1","","1"
"Robert Lewis","WR","339","133","1","","1"
"Dontae Fleming","WR","340","134","1","","1"
"Bryson Nesbit","TE","341","55","1","","1"
"Tre Stewart","RB","342","104","1","","1"
"Anthony Tyus","RB","343","105","1","","1"
"Jackson Meeks","WR","344","135","1","","1"
"Jakobie Keeney-James","WR","345","136","1","","1"
"Caden Prieskorn","TE","346","56","1","","1"
